URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,54.54,35,1273,0,34,0,1,0,0,1269,0,4,0,0,64
https://www.firstratemovers.com/,31.23,269,729,0,88,7,15,12,0,308,16,388,12,0,-391
https://www.firstratemovers.com/local-ottawa-moving-rates/,2.87,264,67,0,100,58,17,12,0,27,34,0,10,0,-10
https://www.firstratemovers.com/kanata/,1.67,8,39,0,6,0,0,0,0,39,0,0,0,0,6
https://www.firstratemovers.com/ottawa-piano-movers/,1.58,43,37,0,11,7,0,8,0,12,16,0,8,0,7
https://www.firstratemovers.com/manotick/,1.32,5,31,0,1,2,0,0,0,22,9,0,0,0,31
https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,1.24,19,29,0,2,7,0,0,0,7,29,0,0,0,0
https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,0.89,16,21,0,2,5,0,0,0,16,5,0,0,0,4
https://www.firstratemovers.com/ottawa-packing-services/,0.72,71,17,0,11,6,0,0,0,0,17,0,0,0,16
https://www.firstratemovers.com/barrhaven/,0.59,6,14,0,2,0,0,0,0,14,0,0,0,0,0
https://www.firstratemovers.com/furniture-donation-disposal/,0.47,42,11,0,13,1,2,2,0,11,0,0,0,0,1
https://www.firstratemovers.com/orleans-movers/,0.42,4,10,0,4,0,0,0,0,10,0,0,0,0,-9
https://www.firstratemovers.com/long-distance-moving/,0.38,70,9,0,7,0,0,1,0,9,0,0,0,0,9
https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0.38,32,9,0,8,4,9,2,0,2,1,6,0,0,9
https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0.34,43,8,0,4,1,5,1,0,0,5,3,0,0,-2
https://www.firstratemovers.com/typical-move-costs-for-2024/,0.21,51,5,0,9,9,1,2,0,0,5,0,0,0,0
https://www.firstratemovers.com/free-storage-ottawa/,0.17,54,4,0,14,2,0,0,0,3,0,0,0,0,-4
https://www.firstratemovers.com/nepean-movers/,0.17,2,4,0,2,0,0,0,0,4,0,0,0,0,1
https://www.firstratemovers.com/consolidated-moves-between-cities-can-save-you-money/,0.12,2,3,0,2,0,0,0,0,3,0,0,0,0,0
https://www.firstratemovers.com/detailed-moving-estimates/,0.12,5,3,0,2,2,0,0,0,3,3,0,0,0,3
https://www.firstratemovers.com/professional-hoisting/,0.12,11,3,0,2,3,0,0,0,1,2,0,0,0,2
https://www.firstratemovers.com/how-to-safely-move-your-big-screen-tv/,0.08,7,2,0,0,6,0,0,0,0,2,0,0,0,-2
https://www.firstratemovers.com/moving-boxes-and-supplies/,0.08,94,2,0,2,0,0,0,0,0,0,0,0,0,-9
