Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
ottawa moving companies,1,1,880,39,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,218,9.46,1515.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
first rate movers,1,1,210,24,3.93,https://www.firstratemovers.com/,168,7.29,660.00,0.29,0,"[35,35,35,29,43,35,43,35,43,43,43,54]",2026-03-19,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
first rate movers ottawa,1,1,170,18,3.58,https://www.firstratemovers.com/,136,5.9,486.00,0.71,723000,"[3,5,9,17,14,21,32,26,26,21,21,17]",2026-02-28,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
movers ottawa,1,1,1600,50,9.64,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,131,5.68,1262.00,0.88,2500000,"[30,65,44,44,55,44,65,55,55,55,55,55]",2026-03-27,"Local pack, Sitelinks, Video, Image, Ads bottom, Related searches",commercial,Local pack
ottawa movers,1,1,1600,45,9.63,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,131,5.68,1261.00,0.88,123,"[10,13,24,66,35,24,35,35,35,44,35,35]",2026-03-27,"Local pack, Video, Image, Related searches",commercial,Local pack
first rate movers inc,1,1,140,18,2.62,https://www.firstratemovers.com/,112,4.86,293.00,0.37,33400000,"[42,53,53,26,53,65,65,53,53,53,53,42]",2026-02-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
movers in ottawa ontario,1,1,1000,49,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,82,3.56,569.00,0.86,544000,"[82,55,4,5,20,65,30,16,24,24,24,20]",2026-02-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
movers in ottawa,1,1,880,50,9.63,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,72,3.12,693.00,0.88,123,"[41,20,54,100,54,16,30,30,41,24,20,30]",2026-03-20,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
movers ottawa,3,5,1600,50,9.64,https://www.firstratemovers.com/,56,2.43,539.00,0.88,2500000,"[30,65,44,44,55,44,65,55,55,55,55,55]",2026-03-27,"Local pack, Sitelinks, Video, Image, Ads bottom, Related searches",commercial,Organic
kanata movers,1,1,480,18,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,39,1.69,244.00,0.78,303000,"[13,3,30,36,55,20,24,30,45,100,45,30]",2026-02-05,"Local pack, Image, People also ask, Related searches",commercial,Local pack
