URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://twomenandatruck.ca/,38.05,1127,18479,1,457,78,124,86,0,4960,1379,11638,1269,0,-1823
https://twomenandatruck.ca/moving-services/long-distance,11.3,627,5489,0,309,126,77,30,0,4138,2063,8,56,0,40
https://twomenandatruck.ca/movers/search,4.11,121,2000,0,9,7,20,37,0,13,91,442,1803,0,489
https://twomenandatruck.ca/movers/on/ottawa,3.44,288,1673,0,100,16,7,10,0,1444,59,158,10,0,463
https://twomenandatruck.ca/movers/ab/calgary,3.44,220,1673,0,83,18,4,8,0,1428,43,140,198,0,696
https://twomenandatruck.ca/movers/sk/saskatoon?utm_source=google&utm_medium=organic&utm_campaign=gmb,3.1,25,1509,0,9,0,14,6,0,351,0,1077,875,0,516
https://twomenandatruck.ca/movers/on/kitchener-cambridge-waterloo,2.66,207,1293,0,64,8,16,7,0,792,14,477,20,0,202
https://twomenandatruck.ca/movers/on/midtown-downtown-toronto,2.58,264,1254,0,107,13,8,7,0,1231,16,3,17,0,387
https://twomenandatruck.ca/movers/ab/edmonton,2.37,220,1152,0,80,23,6,8,0,999,44,95,28,0,184
https://twomenandatruck.ca/movers/ab/edmonton?utm_source=google&utm_medium=organic&utm_campaign=gmb,2.19,20,1066,0,4,0,15,5,0,52,0,1010,92,0,551
https://twomenandatruck.ca/movers/on/london,1.93,120,939,0,52,6,5,0,0,547,127,265,0,0,-276
https://twomenandatruck.ca/movers/on/hamilton-halton,1.53,85,747,0,35,1,7,4,0,419,56,261,67,0,-109
https://twomenandatruck.ca/movers/on/barrie-central-ontario,1.36,65,664,0,20,5,3,1,0,203,12,440,9,0,-79
https://twomenandatruck.ca/movers/mb/winnipeg,1.3,100,635,0,33,5,3,6,0,539,2,88,95,0,2
https://twomenandatruck.ca/appliance-moving-company,1.26,25,613,0,14,7,0,2,0,481,148,0,15,0,67
https://twomenandatruck.ca/movers/on/etobicoke,1.14,101,554,0,46,5,5,0,0,550,3,1,0,0,-40
https://twomenandatruck.ca/movers/on/stcatharines-niagara,1.09,91,534,0,30,6,6,10,0,109,136,166,262,0,144
https://twomenandatruck.ca/movers/on/stcatharines-niagara?utm_source=google&utm_medium=organic&utm_campaign=gmb,1.07,11,520,0,11,0,0,0,0,520,0,0,0,0,-6
https://twomenandatruck.ca/movers/on/newmarket-aurora?utm_source=google&utm_medium=organic&utm_campaign=gmb,0.97,11,474,0,11,0,0,0,0,474,0,0,0,0,-49
https://twomenandatruck.ca/movers/ns/halifax,0.89,181,436,0,38,5,6,11,0,273,2,113,48,0,-71
https://twomenandatruck.ca/moving-services/home-moving-services,0.79,44,388,0,17,9,4,4,0,296,88,4,2,0,151
https://twomenandatruck.ca/movers/on/brampton,0.75,105,367,0,31,5,1,3,0,351,7,0,5,0,1
https://twomenandatruck.ca/moving-boxes-and-supplies,0.59,133,287,0,39,10,1,18,0,129,88,0,73,0,36
https://twomenandatruck.ca/movers/on/oshawa,0.58,54,286,0,24,1,3,0,0,214,0,72,0,0,13
https://twomenandatruck.ca/movers/on/windsor-sarnia,0.57,50,280,0,24,1,1,2,0,217,17,44,19,0,14
https://twomenandatruck.ca/movers/sk/saskatoon,0.57,66,277,0,23,1,2,2,0,163,0,114,112,0,-71
https://twomenandatruck.ca/movers/on/east-toronto-scarborough-markham-pickering,0.53,70,262,0,33,0,1,0,0,262,0,0,0,0,-47
https://twomenandatruck.ca/movers/sk/regina,0.53,116,261,0,27,3,3,9,0,256,3,0,3,0,-102
https://twomenandatruck.ca/movers/on/midtown-downtown-toronto?utm_source=google&utm_medium=organic&utm_campaign=gmb,0.51,3,248,0,1,0,2,0,0,112,0,136,0,0,0
https://twomenandatruck.ca/moving-services/condo-apartment-movers,0.49,38,242,0,14,9,0,1,0,186,58,0,0,0,62
https://twomenandatruck.ca/movers/on/oshawa?utm_source=google&utm_medium=organic&utm_campaign=gmb,0.45,8,219,0,8,0,0,0,0,219,0,0,0,0,-53
https://twomenandatruck.ca/moving-services/furniture-moving-and-rearranging,0.44,47,214,0,14,10,1,6,0,160,31,0,30,0,-48
https://twomenandatruck.ca/movers/ns/halifax?utm_source=google&utm_medium=organic&utm_campaign=gmb,0.42,16,208,0,7,0,9,1,0,131,0,77,21,0,-60
https://twomenandatruck.ca/movers/on/ottawa?utm_source=google&utm_medium=organic&utm_campaign=gmb,0.41,13,201,0,3,0,9,2,0,18,0,135,82,0,-4
https://twomenandatruck.ca/movers/on/orangeville,0.41,16,201,0,5,0,1,1,0,201,0,0,0,0,67
https://twomenandatruck.ca/moving-services/business-moving-services,0.39,19,192,0,12,2,1,3,0,181,4,0,7,0,-68
