Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
commercial movers,3,3,1600,27,12.52,https://prestigemoving.ca/commercial-movers-ottawa,56,19.17,701.00,0.01,0,"[3,8,5,7,10,24,29,29,44,44,53,100]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
prestige moving,1,1,50,34,2.76,https://prestigemoving.ca/,40,13.69,110.00,0.25,0,"[14,14,7,78,0,50,50,100,21,28,28,35]",2026-03-18,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Local pack
long distance movers ottawa,1,1,260,24,8.43,https://prestigemoving.ca/,34,11.64,286.00,0.4,0,"[35,43,81,29,43,29,54,66,66,81,81,100]",2026-03-12,"Local pack, Video, Related searches",commercial,Local pack
ottawa long distance moving,1,1,210,24,7.61,https://prestigemoving.ca/,27,9.24,205.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
full service movers,5,5,320,37,7.74,https://prestigemoving.ca/moving-company-ottawa,14,4.79,108.00,0.14,0,"[10,10,10,10,16,100,20,24,20,24,24,30]",2026-03-12,"Local pack, Video, Ads bottom, Related searches, See results about",commercial,Organic
after hours moving company,5,5,880,17,2.25,https://prestigemoving.ca/,11,3.76,24.00,0.02,506000000,"[81,81,81,100,100,8,13,30,62,13,8,13]",2026-03-01,"Local pack, Video, People also ask, Related searches",commercial,Organic
mover in ottawa,1,1,70,44,6.95,https://prestigemoving.ca/,9,3.08,62.00,0.86,40100000,"[0,0,7,0,0,100,2,17,23,23,7,5]",2026-01-25,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
long distance moving company ottawa,1,1,110,23,7.61,https://prestigemoving.ca/,9,3.08,68.00,0.53,2420000,"[0,15,18,28,15,11,11,28,28,28,28,28]",2026-02-06,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Local pack
student moving services,1,1,260,6,2.88,https://prestigemoving.ca/services/student-moving,9,3.08,25.00,0.46,0,"[5,5,5,10,10,6,100,20,16,16,16,16]",2026-03-09,"Knowledge panel, Related searches, AI overview",informational,AI overview
nepean movers,1,1,90,8,0.00,https://prestigemoving.ca/,7,2.39,0.00,0.32,0,"[14,35,28,14,78,28,100,100,100,100,100,100]",2026-03-16,"Local pack, Image, Related searches",commercial,Local pack
student moving services,8,8,260,6,2.88,https://prestigemoving.ca/services/student-moving,6,2.05,17.00,0.46,0,"[5,5,5,10,10,6,100,20,16,16,16,16]",2026-03-09,"Knowledge panel, Related searches, AI overview",informational,Organic
long distance movers ottawa,7,7,260,24,8.43,https://prestigemoving.ca/stress-free-long-distance-moves-from-ottawa-prestiges-proven-process/,5,1.71,42.00,0.4,0,"[35,43,81,29,43,29,54,66,66,81,81,100]",2026-03-12,"Local pack, Video, Related searches",commercial,Organic
long distance moving companies ottawa,5,5,210,15,8.43,https://prestigemoving.ca/,5,1.71,42.00,0.4,0,"[29,66,54,43,35,29,54,54,43,35,35,35]",2026-03-10,"Local pack, Video, Related searches",commercial,Organic
